Saat,Ort_Hiz,Min_Hiz,Max_Hiz,Toplam_Arac,Nokta
0,64.0,14.2,120.3,18711,158
1,64.7,17.1,120.1,10669,157
2,66.8,19.8,118.3,7331,158
3,66.3,21.5,117.9,5867,158
4,65.1,18.7,122.0,8282,157
5,62.1,13.8,123.2,25342,158
6,56.4,8.4,116.6,72684,158
7,46.4,7.0,104.3,61471,158
8,41.9,7.7,100.5,40356,158
9,44.6,8.1,103.0,38855,158
10,48.3,9.1,103.9,37945,158
11,50.2,9.3,106.6,38455,158
12,50.0,8.6,103.3,36964,158
13,49.1,8.0,103.4,37442,158
14,46.9,7.2,100.2,37685,158
15,46.4,8.0,101.4,40221,158
16,44.7,7.5,98.7,37426,158
17,41.6,6.8,96.7,46451,158
18,39.4,6.3,96.8,51286,158
19,44.5,7.8,102.9,48610,158
20,53.4,9.2,111.9,37730,158
21,58.2,11.1,115.2,31193,158
22,60.1,10.7,116.5,29320,158
23,61.3,12.9,117.4,24732,158
