u,v,key,geohash,mesafe_km,highway,name,length
248138590,11889214430,0,sxk90e,0.28158226118478175,trunk,Rauf Orbay Caddesi,66.75986277100165
304052424,2245030843,0,sxk90w,0.028865004421788507,primary,D-100 Güney Yanyolu,176.7042582914863
304052752,304052424,0,sxk90w,0.20939348870034108,primary,D-100 Güney Yanyolu,226.9006176118694
579904564,11889214432,0,sxk90e,0.2706463717525284,trunk,Rauf Orbay Caddesi,50.77144057134165
905166498,304051898,0,sxk90q,0.1231130255900834,primary,D-100 Güney Yanyolu,508.69855300860263
905166602,2245056702,0,sxk90n,0.05599698544336826,trunk_link,,190.77114976629014
905166614,12142728022,0,sxk90q,0.16049979515027998,trunk,,451.30922524945925
905166687,905166947,0,sxk3py,0.08012867617323616,motorway_link,Çobançeşme Kavşağı,208.53388076650614
905166947,1857937358,0,sxk3py,0.07908917156987791,primary,D-100 Güney Yanyolu,160.39487537936552
909194266,2245070584,0,sxk90y,0.14785246602411112,secondary,,57.851339491957155
909194266,2245070578,0,sxk90y,0.13164546710079797,secondary,,13.71033937108809
909194333,909194349,0,sxk91p,0.1997953169111516,trunk_link,,305.31834295231164
909194333,8745909513,0,sxk91p,0.2864874996538402,primary,D-100 Güney Yanyolu,45.98934894598884
909194349,5777925705,0,sxk91p,0.1718428209420037,trunk,,227.96854740501203
909195158,2365290907,0,sxk90z,0.24852192896103908,primary,D-100 Güney Yanyolu,173.08814193701934
918481706,918481722,0,sxk932,0.17583233967375012,primary_link,,77.57613734265661
918481706,918481748,0,sxk932,0.16818886506292968,primary,D-100 Güney Yanyolu,78.6475391192568
918481735,918481722,0,sxk932,0.2140112379495369,primary_link,,13.96736240165051
918481735,918481748,0,sxk932,0.17198908528962448,primary_link,,109.39004353004013
918481748,2364065083,0,sxk932,0.20587209036007145,primary,D-100 Güney Yanyolu,124.61944381581148
918481860,2368203169,0,sxk91r,0.23770010364215177,primary_link,,330.3332881973763
918481862,2368203169,0,sxk91r,0.14628528425290738,primary,Çobançeşme Koşuyolu Bulvarı,342.5854942008214
918482342,2364065038,0,sxk932,0.2625802471962998,primary,D-100 Güney Yanyolu,261.6169425545776
958136015,8745909513,0,sxk91p,0.2922663736159823,residential,,32.23162299233407
958136017,958136015,0,sxk91p,0.2993701946588967,residential,Olgunlar Sokağı,38.80649880357725
958136239,958136102,0,sxk91p,0.10079189383500947,primary,D-100 Güney Yanyolu,91.73794647545813
958136239,958404971,0,sxk91p,0.10379037025067638,primary_link,,495.8044685308228
958136383,2364065047,0,sxk91r,0.17984608114626624,primary_link,,217.27758969565272
958136383,968158074,0,sxk91r,0.23446185832725672,primary,Çobançeşme Koşuyolu Bulvarı,296.96049075589445
958404936,958404939,0,sxk91p,0.2970294689207677,tertiary_link,,14.443650497957885
958404936,968158282,0,sxk91n,0.2697615580465273,tertiary,İsmail Erez Bulvarı,235.66733220293315
958404939,958404946,0,sxk91p,0.2842434312264313,primary_link,,36.237705006905905
958404946,958136102,0,sxk91p,0.09079020629394094,primary_link,,464.1265922157669
958405050,958405158,0,sxk91n,0.28931840354577437,residential,Başarı Sokağı,60.357798674263435
958405054,958405074,0,sxk91n,0.2991887819863798,residential,,58.72348226845853
958405065,958702684,0,sxk91n,0.14413720458843376,residential,,160.3485833336175
958405065,13736826264,0,sxk91n,0.09131371360588456,tertiary,Tez Sokağı,40.53733055607608
958405065,958702676,0,sxk91n,0.15671332942548855,tertiary,Tez Sokağı,105.58991641566301
958405070,958702684,0,sxk91n,0.21612482866971228,residential,,14.785588415622563
958405070,958405074,0,sxk91n,0.2666436656801005,residential,,82.54772512560358
958405070,958405255,0,sxk91n,0.17910707929787617,tertiary,Ahmet Doğan Yılmaz Sokağı,88.89680941038587
958405074,958405070,0,sxk91n,0.2666436656801005,residential,,82.54772512560358
958405109,2381937670,0,sxk91n,0.22557279946418662,residential,Suna Sokağı,119.35681286772041
958405109,4586888655,0,sxk91n,0.1919516179040865,residential,Suna Sokağı,17.058555571437637
958405109,958405259,0,sxk91n,0.18116809776308926,tertiary,,37.534514660219735
958405120,958404946,0,sxk91p,0.28437269279680394,primary_link,,56.92800915322111
958405120,958404939,0,sxk91p,0.2970590892328142,tertiary,İsmail Erez Bulvarı,46.63753868618663
958405158,958405074,0,sxk91n,0.2991887819863798,tertiary,Agah Efendi Sokağı,59.843760421353295
958405158,958405478,0,sxk91n,0.2944440818719,tertiary,Olgunlar Sokağı,92.53216235317316
958405179,958405736,0,sxk90y,0.28529418453737404,secondary_link,,7.966444302195002
958405179,958405488,0,sxk90y,0.2908727027151523,secondary,İncirli Caddesi,98.2282210936024
958405203,958405070,0,sxk91n,0.2797251543451659,tertiary,Ahmet Doğan Yılmaz Sokağı,180.51783184879457
958405203,958702679,0,sxk91n,0.2939899408112674,tertiary,Yunus Nadi Sokağı,56.213060982402226
958405255,958405259,0,sxk91n,0.16262409224666918,tertiary,Ahmet Doğan Yılmaz Sokağı,82.41416709764148
958405255,13736826264,0,sxk91n,0.09394547328309069,tertiary,Tez Sokağı,120.67523955877311
958405259,958405470,0,sxk91n,0.1379313403527424,residential,Sugözü Sokağı,38.39233562785727
958405259,958405478,0,sxk91n,0.20211190494485834,tertiary,Ahu Sokağı,121.9322526585622
958405259,958405109,0,sxk91n,0.18116809776308926,tertiary,,37.53451466021973
958405314,958405381,0,sxk90y,0.2901975648119978,secondary,,74.4080955971983
958405317,958405314,0,sxk90y,0.25379379066438607,residential,Gülderen Sokağı,65.29099150263897
958405321,958405333,0,sxk90y,0.28091685971604563,residential,Haksever Sokağı,72.22827998119018
958405321,958405317,0,sxk90y,0.27822979083338134,residential,Gülderen Sokağı,97.0700704814112
958405333,958405334,0,sxk90y,0.2432976696550142,residential,Haksever Sokağı,92.72357395993721
958405334,2365290898,0,sxk90y,0.24343847878647626,residential,Haksever Sokağı,79.47662219901773
958405334,13891516134,0,sxk90y,0.16277347107728096,residential,Turanlı Sokağı,123.89529772476955
958405334,958405490,0,sxk90y,0.28340010584938524,residential,Turanlı Sokağı,49.52594361557014
958405352,958703113,0,sxk90y,0.07580090133040421,tertiary,Karabal Caddesi,65.31932317770736
958405352,958702973,0,sxk90y,0.14531007494998724,tertiary,Karabal Caddesi,100.131932100435
958405380,958405381,0,sxk90z,0.29933903820648977,residential,Çağ Sokağı,67.64206190133217
958405383,958405317,0,sxk90y,0.26411235907068514,residential,Yolbaşı Sokağı,62.619213674206364
958405383,958405333,0,sxk90y,0.2383514068451034,residential,Tatlı Nar Sokağı,131.43632225428027
958405385,958405747,0,sxk90y,0.1306143184719621,secondary,Dr. Tevfik Sağlam,52.44845732892475
958405385,958405383,0,sxk90y,0.15065788714876832,residential,Yolbaşı Sokağı,69.91058743043328
958405392,958405385,0,sxk90y,0.14151062089841565,tertiary,Karabal Caddesi,15.635008469899276
958405392,9769272792,0,sxk90y,0.149065420713593,secondary,,172.03413636766956
958405403,958405392,0,sxk90y,0.128133504267163,secondary,,8.713583810928386
958405403,958405352,0,sxk90y,0.06781134476677365,tertiary,Karabal Caddesi,153.91532921175147
958405417,958405383,0,sxk90y,0.20440797690608964,residential,Tatlı Nar Sokağı,64.09648913756783
958405417,958405314,0,sxk90y,0.24777819380372323,secondary,,62.17994111573722
958405450,958405458,0,sxk91n,0.02904723521955406,residential,Yeşilsu Sokağı,52.37386135222947
958405450,968158244,0,sxk91n,0.0790797208612273,residential,Yeşilsu Sokağı,42.96301341420865
958405450,968158241,0,sxk91n,0.05905122822134814,residential,Mescit Sokağı,96.0920622248629
958405458,13736826260,0,sxk91n,0.011033429473368769,residential,Sugözü Sokağı,5.4066714909880575
958405458,958405450,0,sxk91n,0.049048126159661136,residential,Yeşilsu Sokağı,52.37386135222947
958405458,958405470,0,sxk91n,0.0550340127692498,residential,Sugözü Sokağı,149.39202932054187
958405470,958405259,0,sxk91n,0.17494855790168212,residential,Sugözü Sokağı,38.39233562785727
958405470,958702696,0,sxk91n,0.1234268238718072,residential,,87.00096765187982
958405470,958405458,0,sxk91n,0.0550340127692498,residential,Sugözü Sokağı,149.39202932054187
958405478,958405113,0,sxk91n,0.2991387421010261,tertiary,Olgunlar Sokağı,16.908421676595843
958405488,958405490,0,sxk90y,0.28769000060431327,secondary_link,,8.065599558544402
958405488,958405889,0,sxk90y,0.29677490158079667,secondary,İncirli Caddesi,103.14609334207562
958405490,958405736,0,sxk90y,0.2836145174519884,secondary,İncirli Caddesi,98.42746500577907
958405490,958405334,0,sxk90y,0.2572584660887843,residential,Turanlı Sokağı,49.52594361557014
958405605,2245070590,0,sxk91n,0.2886426779727375,residential,Aydın Yuva Sokağı,55.77085964135514
958405623,2365310144,0,sxk91n,0.21836671620532896,residential,Çağlar Sokağı,101.89589825591901
958405623,968158288,0,sxk91n,0.18150272313356142,residential,Mine Sokağı,73.42637886033339
958405736,958405820,0,sxk90y,0.2865288852095575,secondary,İncirli Caddesi,6.185014938078732
958405736,958703203,0,sxk90y,0.2706933517654814,secondary,Dr. Tevfik Sağlam,33.67422912100513
958405743,13891516134,0,sxk90y,0.14992580268834757,secondary,Dr. Tevfik Sağlam,161.03786541851812
958405747,958405749,0,sxk90y,0.1306872367821298,secondary,,8.323255890782896
958405749,958405417,0,sxk90y,0.14427657853157655,secondary,,61.38577025425478
958405749,909194266,0,sxk90y,0.1370920808514414,secondary,,23.40033702867286
958405771,958405403,0,sxk90y,0.11138688464148604,secondary,,49.81464241276425
958405771,958405747,0,sxk90y,0.11943420482005516,secondary,,26.743580040439607
958405820,2365290893,0,sxk90y,0.294699131201182,secondary_link,,8.296332907860686
958405820,958405531,0,sxk90y,0.2982403320966661,secondary,İncirli Caddesi,55.40279797061093
958702676,968172560,0,sxk91n,0.2444517825711441,tertiary,,69.24249204020636
958702676,958405065,0,sxk91n,0.15671332942548855,tertiary,Tez Sokağı,105.58991641566303
958702676,958702760,0,sxk91n,0.2166532878124897,tertiary,Tez Sokağı,41.463470179009676
958702679,968172560,0,sxk91n,0.27458295169467833,tertiary,,63.504146561406415
958702679,958405203,0,sxk91n,0.2939899408112674,tertiary,Yunus Nadi Sokağı,56.213060982402226
958702681,958702684,0,sxk91n,0.20793400681626922,residential,,116.43806759991207
958702684,958405070,0,sxk91n,0.22772147535303755,residential,,14.785588415622563
958702684,958405065,0,sxk91n,0.14413720458843376,residential,,160.3485833336175
958702684,958702681,0,sxk91n,0.20793400681626922,residential,,116.43806759991207
958702696,958405470,0,sxk91n,0.1234268238718072,residential,,87.00096765187982
958702747,968172610,0,sxk91j,0.24427777233201092,tertiary,Terakki Caddesi,37.89741844422353
958702760,968172558,0,sxk91n,0.2529029140712245,residential,,41.21855397639951
958702760,968158137,0,sxk91n,0.25006413426063506,tertiary,Tez Sokağı,19.870716802730996
958702760,958702676,0,sxk91n,0.2166532878124897,tertiary,Tez Sokağı,41.463470179009676
958702831,958703326,0,sxk90v,0.22331397716782944,secondary,Yüce Tarla Caddesi,35.135433941697755
958702844,958702852,0,sxk90v,0.2688346016029145,living_street,Gülbahçe Sokağı,112.08991081191809
958702847,958703163,0,sxk90v,0.22163618105418487,living_street,Zümrüt Evler Sokağı,128.5574911315497
958702852,958703163,0,sxk90v,0.20472836613313647,secondary,Yüce Tarla Caddesi,72.85673928533599
958702852,958702844,0,sxk90v,0.2688346016029145,living_street,Gülbahçe Sokağı,112.08991081191809
958702871,958703006,0,sxk90v,0.270552681525814,residential,Yeni İncirli Yolu Sokağı,51.02228401674115
958702891,958703154,0,sxk90v,0.08300500898217217,tertiary,Demirkapı Caddesi,87.20241209859391
958702891,958702893,0,sxk90v,0.1646980314346477,residential,Vankulu Sokağı,69.4810657073257
958702891,2382891996,0,sxk90u,0.2822378255525102,tertiary,Demirkapı Caddesi,309.57567607369674
958702893,958703044,0,sxk90v,0.1707575588550511,residential,Akatlar Sokağı,6.1844395814136295
958702893,958702891,0,sxk90v,0.16057563646473097,residential,Vankulu Sokağı,69.4810657073257
958702893,958703157,0,sxk90v,0.11418609645980962,residential,Akatlar Sokağı,95.84111437281362
958702899,958702900,0,sxk90u,0.1927898942761319,living_street,Tamburacı Osman Sokağı,65.57748003075814
958702899,958703288,0,sxk90u,0.18443111553375197,secondary,Yüce Tarla Caddesi,66.64087625710337
958702900,958702990,0,sxk90u,0.2565695774122701,residential,Zümrüt Bahçe Sokağı,67.51221442867619
958702900,958702899,0,sxk90u,0.22581866313452803,living_street,Tamburacı Osman Sokağı,65.57748003075814
