u,v,key,name,highway,length
248138590,11889214430,0,Rauf Orbay Caddesi,trunk,66.75986277100165
304051898,304051902,0,Ataköy Kavşağı,primary_link,322.40015246614973
304051898,1859108033,0,D-100 Güney Yanyolu,primary,142.99059409067104
304051902,304051907,0,Ataköy Kavşağı,trunk_link,144.26901569100613
304051907,8868878855,0,Mustafa Sarıçiçek Bulvarı,primary,228.65657906109408
304052298,304052313,0,Ataköy Kavşağı,primary_link,188.6544976998937
304052298,304051907,0,Mustafa Sarıçiçek Bulvarı,primary,190.4318216952126
304052313,304052752,0,D-100 Güney Yanyolu,primary,80.82914299623029
304052424,2245030843,0,D-100 Güney Yanyolu,primary,176.7042582914863
304052752,304052764,0,Ataköy Kavşağı,primary_link,233.5905876845738
304052752,304052424,0,D-100 Güney Yanyolu,primary,226.9006176118694
304053231,304052424,0,Ataköy Kavşağı,primary_link,391.45875049082156
304053231,304052764,0,Mustafa Sarıçiçek Bulvarı,primary,218.23272958182443
363910202,958405710,0,Bahçesaray Sokağı,residential,57.27426092244263
363910202,363910204,0,,residential,18.090631236340506
363910204,958406328,0,Pembe Ay Sokağı,residential,50.05836898503848
363910204,363910206,0,,residential,24.5849748122133
363910206,958406085,0,Bahçesaray Sokağı,residential,58.51673790696607
363910206,4104770089,0,,residential,27.830134403434702
494078053,8880802729,0,,residential,29.72761038012073
494078053,2380790711,0,Germeyan Sokağı,residential,71.83472945683765
494094318,2244990994,0,Cami Girişi Sokağı,residential,56.985840553923126
494094318,1027924576,0,Güven Sokağı,residential,113.12342653334866
494094318,1027924575,0,"['Üniversite Sokağı', 'Cami Girişi Sokağı']",residential,168.94428729261045
495411144,1033540409,0,Fuat Paşa Sokağı,residential,204.6742473136418
495411144,2380790838,0,,secondary_link,56.021006264685056
495411144,1033540926,0,,secondary_link,43.491408939572985
495411182,8887329233,0,Yamaç Sokağı,residential,7.942644950524822
495411182,1033540508,0,Yamaç Sokağı,residential,65.8047500924778
495411182,1033540699,0,Çetiner Sokağı,residential,70.39785546621519
495458804,2244746147,0,Kır Sokağı,residential,87.10641155537677
495458804,2244746172,0,,residential,59.51801053277278
579904564,11889214432,0,Rauf Orbay Caddesi,trunk,50.77144057134165
620077517,620077517,0,,residential,140.1902102009022
620077517,11039309419,0,,residential,53.68769387026676
905151588,11345677264,0,Basın Ekspress Yolu,primary,219.9726756099189
905151611,905166687,0,Çobançeşme Kavşağı,motorway_link,387.50883561067934
905151611,905151618,0,Basın Ekspress Yolu,motorway,415.43540491552403
905166498,304051898,0,D-100 Güney Yanyolu,primary,508.69855300860263
905166599,905166602,0,,trunk,333.92170239804705
905166602,2245056702,0,,trunk_link,190.77114976629014
905166602,905166614,0,,trunk,795.5110705517311
905166614,12142728022,0,,trunk,451.30922524945925
905166663,905151588,0,Çobançeşme Kavşağı,motorway_link,231.0663324611977
905166687,905166947,0,Çobançeşme Kavşağı,motorway_link,208.53388076650614
905166754,1857917102,0,,trunk_link,177.6992715400009
905166754,905166599,0,,trunk,1516.5150827810598
905166947,1857937358,0,D-100 Güney Yanyolu,primary,160.39487537936552
905192864,1931523090,0,Ahmet Yesevi Caddesi,tertiary,56.921242889382555
905362834,12244813341,0,D-100 Güney Yanyolu,primary,113.91744644044392
905362834,2245056676,0,Elif Naci Caddesi,residential,144.90834739335315
907179819,909194349,0,,trunk,1425.6019414630423
909194033,909195158,0,D-100 Güney Yanyolu,primary,266.8151529871251
909194033,2372029858,0,,secondary,66.31502589429647
909194266,2245070584,0,,secondary,57.851339491957155
909194266,2245070578,0,,secondary,13.71033937108809
909194314,909194316,0,İncirli Kavşağı,primary_link,57.01019477723826
909194314,909194429,0,İncirli Caddesi,secondary,117.56523589873123
909194316,909194326,0,İncirli Kavşağı,primary_link,217.5996272299906
909194316,958405938,0,Alpay İzer Sokağı,residential,96.55237732137584
909194326,958136024,0,İncirli Kavşağı,primary_link,10.122622513928498
909194333,909194349,0,,trunk_link,305.31834295231164
909194333,958136015,0,Olgunlar Sokağı,residential,35.68061453453825
909194333,8745909513,0,D-100 Güney Yanyolu,primary,45.98934894598884
909194349,5777925705,0,,trunk,227.96854740501203
909194403,909194429,0,İncirli Kavşağı,primary_link,159.515082782789
909194403,909194326,0,,primary_link,121.78928435497266
909194403,909194333,0,D-100 Güney Yanyolu,primary,255.3952660376527
909194568,909194645,0,,secondary,32.704029079457264
909194645,2365290907,0,İncirli Kavşağı,primary_link,219.90581004082898
909194645,909194652,0,İncirli Caddesi,secondary,94.43965480597831
909194652,958405373,0,İncirli Caddesi,secondary,58.492148802475896
909195158,909194652,0,İncirli Kavşağı,primary_link,221.34577129804887
909195158,2365290907,0,D-100 Güney Yanyolu,primary,173.08814193701934
918481467,918481664,0,,primary_link,112.47085047332565
918481467,918481470,0,Merter Kavşağı,primary_link,74.9871144566516
918481470,918481472,0,Merter Kavşağı,primary_link,86.3822059339237
918481472,918481473,0,D-100 Güney Yanyolu,primary,60.81352961522093
918481473,958128674,0,,primary_link,70.89376127269715
918481664,918481735,0,,secondary,310.3398244231091
918481672,918481470,0,,primary_link,87.57302336168205
918481672,918481664,0,,secondary,77.93512400557367
918481706,918481722,0,,primary_link,77.57613734265661
918481706,918481748,0,D-100 Güney Yanyolu,primary,78.6475391192568
918481722,918481933,0,,primary_link,429.82615270624353
918481735,918481722,0,,primary_link,13.96736240165051
918481735,918481748,0,,primary_link,109.39004353004013
918481748,2364065083,0,D-100 Güney Yanyolu,primary,124.61944381581148
918481828,918481860,0,,primary_link,257.4935482881965
918481828,918482342,0,D-100 Güney Yanyolu,primary,215.1871044889077
918481860,2368203169,0,,primary_link,330.3332881973763
918481860,8745873128,0,,primary_link,51.534014408106884
918481862,8745873128,0,,primary_link,64.33390253949425
918481862,2368203169,0,Çobançeşme Koşuyolu Bulvarı,primary,342.5854942008214
918481946,918481862,0,Ekrem Kurt Bulvarı,primary,45.91869941269705
918481946,918482342,0,Merter 2 Köprülü Kavşağı,primary_link,272.8529325385413
918482342,2364065038,0,D-100 Güney Yanyolu,primary,261.6169425545776
958128667,958128674,0,,secondary,61.4450744513652
958128674,958128680,0,,secondary,31.957990408203763
958128674,974171746,0,,secondary,49.93466082829702
958128680,918481672,0,,secondary,144.27828555447257
958128711,958128667,0,,secondary_link,87.05401764658065
958136015,958136017,0,Olgunlar Sokağı,residential,38.80649880357725
958136015,8745909513,0,,residential,32.23162299233407
958136017,958136015,0,Olgunlar Sokağı,residential,38.80649880357725
958136017,958136047,0,Lavanta Çiçeği Sokağı,residential,66.62032825257509
958136024,958136036,0,"['Alem Sokağı', 'Pelinli Sokağı']",residential,141.66553819976065
958136024,909194333,0,İncirli Kavşağı,primary_link,127.11900526082093
