osmid,lat,lon
248138590,40.9763813,28.8526755
304051898,40.9914859,28.8469734
304051902,40.9909565,28.8507181
304051907,40.9899196,28.8516444
304052298,40.9916025,28.8512282
304052313,40.9915933,28.8507165
304052424,40.9921765,28.8542915
304052752,40.9916977,28.8516687
304052764,40.9915764,28.8513433
304053231,40.9896646,28.8519133
363910202,40.9954219,28.8722159
363910204,40.9955266,28.8720664
363910206,40.9954067,28.8718565
494078053,40.972391,28.7957942
494094318,40.9828236,28.7960984
495411144,40.9801837,28.797087
495411182,40.9789236,28.8008606
495458804,40.9662869,28.8027055
579904564,40.97607,28.8520956
620077517,40.9728829,28.8705152
620098496,40.9752093,28.8678211
905151588,40.9892921,28.8185078
905151611,40.9894384,28.8186315
905151618,40.9931201,28.818784
905166498,40.9917757,28.8409271
905166599,40.9926349,28.8282041
905166602,40.9923954,28.83217
905166614,40.9918739,28.841623
905166663,40.9913289,28.8180036
905166687,40.9923648,28.8205292
905166754,40.997718,28.8127938
905166947,40.9928364,28.8228135
905192864,40.9915613,28.8385896
905362834,40.9926064,28.8261831
907179819,40.9943402,28.8612788
909194033,40.9951533,28.8644489
909194266,40.9939792,28.8666633
909194314,40.9959943,28.8699216
909194316,40.9965028,28.8699935
909194326,40.9974367,28.8722541
909194333,40.9979825,28.8737204
909194349,40.9990194,28.8770756
909194403,40.9972719,28.8708273
909194429,40.9970493,28.869842
909194568,40.9970424,28.8696383
909194645,40.9967483,28.8696421
909194652,40.9959121,28.8698266
909195158,40.9961241,28.8673562
918481467,41.0036552,28.8926118
918481470,41.0042576,28.8930074
918481472,41.0048778,28.8936161
918481473,41.0052473,28.8941504
918481664,41.0033273,28.8931084
918481672,41.0039079,28.8936283
918481706,41.0026048,28.889592
918481722,41.0020738,28.8898537
918481735,41.0020914,28.8900185
918481748,41.0029174,28.890431
918481828,41.000419,28.8821548
918481860,41.0006302,28.8849892
918481862,41.000808,28.8850885
918481933,41.0011621,28.8850047
918481946,41.0011868,28.8848706
918482342,41.0011263,28.8845415
918482357,41.002639,28.8892383
958128667,41.0056756,28.8952198
958128674,41.0052209,28.8948037
958128680,41.0049799,28.8945962
958128711,41.0054016,28.8955268
958136015,40.9978549,28.8740757
958136017,40.9975062,28.8740567
958136024,40.9974752,28.8723634
958136029,40.997509,28.8734952
958136036,40.9965665,28.8728786
958136047,40.9970703,28.8735121
958136102,40.9992981,28.8784383
958136239,40.9989918,28.8774233
958136383,40.9983173,28.8871772
958404936,40.9955912,28.8764065
958404939,40.9956708,28.8765425
958404946,40.9959489,28.8767154
958404971,40.9956878,28.8759926
958405050,40.9925047,28.8734549
958405054,40.9919326,28.8734941
958405057,40.9908019,28.873606
958405065,40.9918148,28.8772411
958405070,40.991833,28.8751584
958405074,40.9919604,28.8741928
958405083,40.9908558,28.8728185
958405093,40.9918982,28.8710003
958405095,40.991884,28.8720943
958405109,40.9936145,28.8755999
958405113,40.9934825,28.8741816
958405120,40.995533,28.877067
958405158,40.9924984,28.874174
958405160,40.9925049,28.8729755
958405162,40.9924979,28.8720906
958405173,40.992497,28.8712872
958405175,40.992484,28.8705827
958405179,40.9924223,28.870003
958405184,40.9942447,28.871183
958405188,40.9933005,28.8705646
958405203,40.9903907,28.8758621
958405211,40.9907468,28.8742813
958405232,40.9912955,28.8703904
958405255,40.9925493,28.8756273
958405259,40.9932896,28.875636
958405297,40.9954244,28.8688653
958405314,40.9949958,28.8670384
958405317,40.9949209,28.86781
958405321,40.9948254,28.8689595
958405327,40.9948148,28.8698569
958405333,40.9942163,28.8692585
958405334,40.9933834,28.8693121
958405352,40.992242,28.8673599
958405373,40.9953862,28.8698422
958405380,40.9954925,28.8678836
958405381,40.9956595,28.8671515
958405383,40.9943634,28.8677046
958405385,40.9937391,28.867606
958405392,40.9936001,28.8675779
958405403,40.9936217,28.8674781
958405417,40.9944408,28.8669478
958405432,40.9965854,28.8719979
958405450,40.9930957,28.8780768
958405458,40.9927714,28.8776609
958405470,40.9930872,28.8760066
958405478,40.9933305,28.8741873
958405480,40.9933325,28.8739717
958405482,40.9933416,28.8729325
958405486,40.9933171,28.871237
958405488,40.9933054,28.8699753
958405490,40.9933057,28.8698792
958405511,40.994224,28.8729325
958405513,40.9935195,28.8738674
958405531,40.9918691,28.8699465
958405561,40.9953403,28.8742228
958405566,40.9954541,28.8742083
958405574,40.9955474,28.8742921
958405579,40.9955671,28.8744543
958405592,40.9953466,28.8745265
958405595,40.9953212,28.8744792
958405605,40.9942524,28.8741567
958405607,40.9948395,28.8741451
958405623,40.9944938,28.8776661
958405649,40.995638,28.8755653
958405666,40.9955069,28.8751383
958405670,40.9955428,28.8755842
958405691,40.9959957,28.8741186
958405708,40.9959778,28.8728883
958405710,40.9954323,28.8728982
958405711,40.9948385,28.872914
958405736,40.9924209,28.8699081
958405743,40.9925873,28.8692706
958405747,40.9938648,28.8670037
958405749,40.993895,28.8669133
958405771,40.9936744,28.8668887
958405820,40.9923654,28.869913
958405889,40.994233,28.8699686
958405891,40.9948176,28.8699442
958405893,40.9953712,28.8699288
958405895,40.9959435,28.8699206
958405938,40.9965626,28.8711399
958406085,40.9953841,28.8711599
958406132,40.9948163,28.8720725
958406139,40.9942285,28.872076
958406146,40.993326,28.8720749
958406151,40.9912834,28.8720886
958406214,40.9948179,28.8711735
958406328,40.9959762,28.872036
958406383,40.9959687,28.8711463
958702676,40.9909485,28.8777315
958702679,40.9902112,28.8764876
958702681,40.9911466,28.8764091
958702684,40.9918053,28.8753307
958702696,40.9925438,28.8766006
958702719,40.9826267,28.8720187
958702730,40.9824933,28.8711044
958702735,40.9908071,28.8733925
958702736,40.9899848,28.8731756
958702740,40.9893561,28.872136
958702741,40.9892898,28.8713924
958702747,40.9893942,28.8763031
958702760,40.9906552,28.8780349
958702782,40.9838347,28.871055
958702789,40.9842657,28.8699986
958702796,40.9854724,28.8701756
958702798,40.9852146,28.8705066
958702817,40.9835016,28.8711718
958702831,40.9881306,28.8691738
958702844,40.9874624,28.8703352
958702847,40.9867949,28.8703736
958702848,40.9859047,28.8704073
958702852,40.9874787,28.869
958702871,40.9854008,28.8693298
958702878,40.9854818,28.8722643
958702891,40.985801,28.8664372
958702893,40.9858556,28.8672618
958702899,40.9832862,28.8683196
958702900,40.9833231,28.8675399
958702911,40.9844807,28.8675231
958702912,40.9844855,28.8683632
958702915,40.9845587,28.8683739
958702918,40.9845803,28.8694764
958702924,40.9893421,28.8694555
958702928,40.988939,28.8715971
958702955,40.9909145,28.8697872
958702956,40.9909715,28.8690805
958702957,40.9910658,28.8684453
958702970,40.991196,28.8678169
958702973,40.9913576,28.8671433
958702982,40.9848029,28.8674402
958702983,40.9847832,28.8683827
958702990,40.9839293,28.8675849
958702994,40.9838865,28.8683573
958702999,40.9838773,28.8694083
958703005,40.9864668,28.8687329
958703006,40.9858465,28.8691853
958703014,40.9843086,28.8694636
958703026,40.9826129,28.8693575
958703042,40.9858287,28.8679142
958703044,40.9858007,28.8672736
958703113,40.9928222,28.8674807
958703118,40.9922733,28.868279
958703121,40.9918783,28.8688094
958703134,40.9899638,28.8688613
958703136,40.989857,28.8688326
958703137,40.9887889,28.8685701
958703140,40.9878665,28.8683921
958703142,40.9867727,28.868132
958703154,40.9865607,28.8661794
958703157,40.9866905,28.8669821
958703159,40.9867291,28.8675455
958703163,40.9868344,28.868843
958703169,40.9867415,28.872239
958703176,40.9879459,28.8676171
958703182,40.9888807,28.8678939
958703186,40.9899508,28.868148
958703200,40.9923422,28.8693972
958703203,40.9924776,28.8695187
958703211,40.98919,28.8662968
958703215,40.9890436,28.8671476
958703219,40.9886926,28.8693003
958703223,40.9885816,28.8718105
958703226,40.9900715,28.8674343
958703228,40.9902125,28.8666928
958703267,40.9826746,28.8722659
958703270,40.9821351,28.8724681
958703283,40.9827491,28.8677763
958703288,40.9826881,28.8683212
958703292,40.9824819,28.8713128
958703294,40.9824777,28.8713807
958703305,40.982283,28.8731131
958703318,40.9898632,28.869574
958703323,40.9882268,28.8659313
958703325,40.9880551,28.8668355
958703326,40.9878204,28.8690941
958703489,40.9824695,28.873001
958703499,40.9830444,28.8726872
958703502,40.9839296,28.8724463
958703509,40.9849521,28.8722957
958703519,40.9869462,28.8722343
958703600,40.9846003,28.8723264
958703615,40.9828792,28.8727653
959578411,40.9749731,28.8767032
959578412,40.9754598,28.8765531
959578414,40.9761298,28.8763522
959578415,40.9765099,28.8762258
959578420,40.9807464,28.8759487
959578423,40.9804262,28.8747616
959578426,40.9792447,28.8748718
959578428,40.9784694,28.8750664
959578460,40.9762494,28.8723478
959578466,40.9765549,28.875001
959578468,40.9764575,28.8745042
959578469,40.9763156,28.8737031
959578470,40.9761885,28.8730547
959578475,40.9792153,28.8756077
959578479,40.9784846,28.8754257
959578484,40.976454,28.8757079
959578491,40.9784841,28.8755162
959578503,40.9766528,28.8789348
959578505,40.976543,28.8771573
959578508,40.9763546,28.8750687
959578525,40.9746165,28.874974
959578527,40.9752223,28.8748135
959578528,40.9758414,28.8746708
959578531,40.9769878,28.8743234
959578532,40.9768569,28.8735585
959578533,40.9767321,28.8729311
959578534,40.9766733,28.8723822
959578536,40.9771258,28.8734687
959578537,40.9757036,28.8738494
959578539,40.9751066,28.8740246
959578540,40.9745061,28.8741888
959578541,40.9741314,28.8743094
959578543,40.9746761,28.8754344
959578544,40.9743556,28.8735253
959578546,40.9750257,28.8734063
959578547,40.9756052,28.8732458
959578551,40.9754674,28.8722859
959578555,40.9787183,28.8704582
959578556,40.9780644,28.8705294
959578559,40.9788777,28.8716472
959578560,40.9781626,28.87173
959578561,40.9753851,28.87226
959578565,40.975571,28.8779544
959578579,40.9779737,28.8695728
959578580,40.9785931,28.8695241
959578581,40.979137,28.8694942
959578582,40.9796371,28.8694821
959578584,40.9784259,28.8682768
959578585,40.9785149,28.8689406
959578586,40.9787873,28.8709724
959578587,40.9789816,28.8724221
959578595,40.979078,28.8689163
959578601,40.9781031,28.8710428
959578607,40.9853571,28.8771592
959578608,40.9841889,28.8769986
959578620,40.9816217,28.8771327
959578630,40.9811874,28.877126
959578631,40.982913,28.8773876
959578637,40.9792799,28.8677165
959578642,40.9798415,28.8714831
959578643,40.9799252,28.8722152
959578651,40.9813131,28.8658339
959578664,40.9802913,28.8699958
959578668,40.981246,28.873119
959578671,40.9810099,28.8698065
959578673,40.9826198,28.8692464
959578674,40.9817835,28.8691888
959578675,40.9812473,28.8691425
959578676,40.9808895,28.8691108
959578678,40.9818584,28.867907
959578685,40.9812627,28.8676434
959578692,40.9780836,28.8685186
959578696,40.9779393,28.8692256
959578705,40.9805855,28.8679731
959578732,40.9751227,28.8705895
959578737,40.9779296,28.8688936
959578761,40.9782252,28.8724262
959578766,40.9755635,28.8658861
