Saat,Ort_Hiz,Min_Hiz,Max_Hiz,Toplam_Arac,Nokta
0,85.3,47.6,136.4,9208,145
1,83.4,51.7,129.7,6221,144
2,82.2,51.4,127.0,4402,142
3,79.0,45.8,128.6,4898,146
4,81.3,49.0,137.5,6859,144
5,81.7,46.9,134.5,13075,144
6,84.1,44.7,141.8,23484,145
7,82.4,43.5,136.2,25641,145
8,80.1,43.2,135.3,19660,145
9,79.7,40.9,136.3,21285,146
10,80.7,42.9,134.4,21597,146
11,79.6,42.7,133.8,23496,146
12,79.9,42.2,133.2,21321,145
13,81.3,44.6,133.5,20025,145
14,81.2,44.2,135.9,20969,145
15,78.8,42.6,133.4,22664,145
16,78.4,43.8,131.9,20658,146
17,79.2,41.6,133.9,23561,145
18,78.5,40.8,133.2,21918,146
19,79.9,42.1,136.9,19295,144
20,77.4,40.4,140.1,20082,146
21,82.0,39.1,146.7,16702,146
22,84.2,42.6,147.9,15366,146
23,83.2,44.9,141.0,13005,146
